Month,Components,Percentage points
Jan 2015,"Electricity, gas and other fuels",-0.08
Feb 2015,"Electricity, gas and other fuels",-0.09
Mar 2015,"Electricity, gas and other fuels",-0.12
Apr 2015,"Electricity, gas and other fuels",-0.11
May 2015,"Electricity, gas and other fuels",-0.11
Jun 2015,"Electricity, gas and other fuels",-0.12
Jul 2015,"Electricity, gas and other fuels",-0.12
Aug 2015,"Electricity, gas and other fuels",-0.13
Sep 2015,"Electricity, gas and other fuels",-0.16
Oct 2015,"Electricity, gas and other fuels",-0.15
Nov 2015,"Electricity, gas and other fuels",-0.15
Dec 2015,"Electricity, gas and other fuels",-0.14
Jan 2016,"Electricity, gas and other fuels",-0.13
Feb 2016,"Electricity, gas and other fuels",-0.14
Mar 2016,"Electricity, gas and other fuels",-0.12
Apr 2016,"Electricity, gas and other fuels",-0.13
May 2016,"Electricity, gas and other fuels",-0.11
Jun 2016,"Electricity, gas and other fuels",-0.10
Jul 2016,"Electricity, gas and other fuels",-0.10
Aug 2016,"Electricity, gas and other fuels",-0.09
Sep 2016,"Electricity, gas and other fuels",-0.05
Oct 2016,"Electricity, gas and other fuels",-0.04
Nov 2016,"Electricity, gas and other fuels",-0.04
Dec 2016,"Electricity, gas and other fuels",-0.02
Jan 2017,"Electricity, gas and other fuels",-0.01
Feb 2017,"Electricity, gas and other fuels",0.00
Mar 2017,"Electricity, gas and other fuels",0.03
Apr 2017,"Electricity, gas and other fuels",0.08
May 2017,"Electricity, gas and other fuels",0.13
Jun 2017,"Electricity, gas and other fuels",0.12
Jul 2017,"Electricity, gas and other fuels",0.14
Aug 2017,"Electricity, gas and other fuels",0.14
Sep 2017,"Electricity, gas and other fuels",0.14
Oct 2017,"Electricity, gas and other fuels",0.16
Nov 2017,"Electricity, gas and other fuels",0.17
Dec 2017,"Electricity, gas and other fuels",0.17
Jan 2018,"Electricity, gas and other fuels",0.17
Feb 2018,"Electricity, gas and other fuels",0.17
Mar 2018,"Electricity, gas and other fuels",0.17
Apr 2018,"Electricity, gas and other fuels",0.16
May 2018,"Electricity, gas and other fuels",0.11
Jun 2018,"Electricity, gas and other fuels",0.17
Jul 2018,"Electricity, gas and other fuels",0.18
Aug 2018,"Electricity, gas and other fuels",0.18
Sep 2018,"Electricity, gas and other fuels",0.22
Oct 2018,"Electricity, gas and other fuels",0.25
Nov 2018,"Electricity, gas and other fuels",0.23
Dec 2018,"Electricity, gas and other fuels",0.22
Jan 2019,"Electricity, gas and other fuels",0.05
Feb 2019,"Electricity, gas and other fuels",0.05
Mar 2019,"Electricity, gas and other fuels",0.05
Apr 2019,"Electricity, gas and other fuels",0.28
May 2019,"Electricity, gas and other fuels",0.28
Jun 2019,"Electricity, gas and other fuels",0.21
Jul 2019,"Electricity, gas and other fuels",0.18
Aug 2019,"Electricity, gas and other fuels",0.18
Sep 2019,"Electricity, gas and other fuels",0.13
Oct 2019,"Electricity, gas and other fuels",-0.05
Nov 2019,"Electricity, gas and other fuels",-0.05
Dec 2019,"Electricity, gas and other fuels",-0.04
Jan 2020,"Electricity, gas and other fuels",0.13
Feb 2020,"Electricity, gas and other fuels",0.11
Mar 2020,"Electricity, gas and other fuels",0.10
Apr 2020,"Electricity, gas and other fuels",-0.20
May 2020,"Electricity, gas and other fuels",-0.20
Jun 2020,"Electricity, gas and other fuels",-0.19
Jul 2020,"Electricity, gas and other fuels",-0.19
Aug 2020,"Electricity, gas and other fuels",-0.19
Sep 2020,"Electricity, gas and other fuels",-0.19
Oct 2020,"Electricity, gas and other fuels",-0.23
Nov 2020,"Electricity, gas and other fuels",-0.23
Dec 2020,"Electricity, gas and other fuels",-0.22
Jan 2021,"Electricity, gas and other fuels",-0.22
Feb 2021,"Electricity, gas and other fuels",-0.20
Mar 2021,"Electricity, gas and other fuels",-0.18
Apr 2021,"Electricity, gas and other fuels",0.09
May 2021,"Electricity, gas and other fuels",0.09
Jun 2021,"Electricity, gas and other fuels",0.09
Jul 2021,"Electricity, gas and other fuels",0.09
Aug 2021,"Electricity, gas and other fuels",0.09
Sep 2021 ,"Electricity, gas and other fuels",0.10
Oct 2021,"Electricity, gas and other fuels",0.59
Nov 2021,"Electricity, gas and other fuels",0.60
Dec 2021,"Electricity, gas and other fuels",0.59
Jan 2022,"Electricity, gas and other fuels",0.59
Feb 2022,"Electricity, gas and other fuels",0.60
Mar 2022,"Electricity, gas and other fuels",0.65
Apr 2022,"Electricity, gas and other fuels",1.86
May 2022,"Electricity, gas and other fuels",1.87
Jun 2022,"Electricity, gas and other fuels",1.87
Jul 2022,"Electricity, gas and other fuels",1.87
Aug 2022,"Electricity, gas and other fuels",1.84
Sep 2022,"Electricity, gas and other fuels",1.85
Oct 2022,"Electricity, gas and other fuels",2.59
Nov 2022,"Electricity, gas and other fuels",2.56
Dec 2022,"Electricity, gas and other fuels",2.53
Jan 2023,"Electricity, gas and other fuels",2.56
Feb 2023,"Electricity, gas and other fuels",2.52
Mar 2023,"Electricity, gas and other fuels",2.44
Jan 2015,Council Tax,0.02
Feb 2015,Council Tax,0.02
Mar 2015,Council Tax,0.02
Apr 2015,Council Tax,0.03
May 2015,Council Tax,0.03
Jun 2015,Council Tax,0.03
Jul 2015,Council Tax,0.03
Aug 2015,Council Tax,0.03
Sep 2015,Council Tax,0.03
Oct 2015,Council Tax,0.03
Nov 2015,Council Tax,0.03
Dec 2015,Council Tax,0.03
Jan 2016,Council Tax,0.03
Feb 2016,Council Tax,0.03
Mar 2016,Council Tax,0.03
Apr 2016,Council Tax,0.07
May 2016,Council Tax,0.07
Jun 2016,Council Tax,0.07
Jul 2016,Council Tax,0.07
Aug 2016,Council Tax,0.07
Sep 2016,Council Tax,0.07
Oct 2016,Council Tax,0.07
Nov 2016,Council Tax,0.07
Dec 2016,Council Tax,0.07
Jan 2017,Council Tax,0.07
Feb 2017,Council Tax,0.07
Mar 2017,Council Tax,0.07
Apr 2017,Council Tax,0.10
May 2017,Council Tax,0.10
Jun 2017,Council Tax,0.10
Jul 2017,Council Tax,0.10
Aug 2017,Council Tax,0.10
Sep 2017,Council Tax,0.10
Oct 2017,Council Tax,0.10
Nov 2017,Council Tax,0.10
Dec 2017,Council Tax,0.10
Jan 2018,Council Tax,0.10
Feb 2018,Council Tax,0.10
Mar 2018,Council Tax,0.10
Apr 2018,Council Tax,0.12
May 2018,Council Tax,0.12
Jun 2018,Council Tax,0.12
Jul 2018,Council Tax,0.12
Aug 2018,Council Tax,0.12
Sep 2018,Council Tax,0.12
Oct 2018,Council Tax,0.12
Nov 2018,Council Tax,0.12
Dec 2018,Council Tax,0.12
Jan 2019,Council Tax,0.12
Feb 2019,Council Tax,0.12
Mar 2019,Council Tax,0.12
Apr 2019,Council Tax,0.12
May 2019,Council Tax,0.12
Jun 2019,Council Tax,0.12
Jul 2019,Council Tax,0.12
Aug 2019,Council Tax,0.12
Sep 2019,Council Tax,0.12
Oct 2019,Council Tax,0.12
Nov 2019,Council Tax,0.12
Dec 2019,Council Tax,0.12
Jan 2020,Council Tax,0.12
Feb 2020,Council Tax,0.12
Mar 2020,Council Tax,0.12
Apr 2020,Council Tax,0.11
May 2020,Council Tax,0.11
