constituencies, days
Barnsley,15.5
Basildon And Brentwood,16.7
Bassetlaw,6.3
"Bath And North East Somerset, Swindon And Wiltshire",20.3
"Bedfordshire, Luton And Milton Keynes",7.5
Berkshire West,11.8
Birmingham And Solihull,42.8
Black Country And West Birmingham,24.4
Blackburn With Darwen,13.4
Blackpool,12.9
Bolton,33
Bradford District And Craven,23.4
Brighton And Hove,27
"Bristol, North Somerset And South Gloucestershire",30.4
Buckinghamshire,7.8
Bury,65.4
Calderdale,16.7
Cambridgeshire And Peterborough,31.8
Cannock Chase,11.5
Castle Point And Rochford,4.4
Cheshire,24.1
Chorley And South Ribble,33.3
County Durham,10.5
Coventry And Warwickshire,19.4
Derby And Derbyshire,26.2
Derby And Derbyshire,26.2
Devon,13.2
Doncaster,27
Dorset,16
East And North Hertfordshire,31.4
East Lancashire,15.2
East Leicestershire And Rutland,59.9
East Riding Of Yorkshire,28.2
East Staffordshire,6.4
East Sussex,22.5
Frimley,10.5
Fylde And Wyre,26.3
Gloucestershire,5.6
Greater Preston,27.2
Halton,10.7
"Hampshire, Southampton And Isle Of Wight",15.5
"Hampshire, Southampton And Isle Of Wight",15.5
Herefordshire And Worcestershire,27.6
Herts Valleys,24.1
"Heywood, Middleton And Rochdale",25.6
Hull,20.8
Ipswich And East Suffolk,19.4
Kent And Medway,25.3
Kent And Medway,25.3
Kernow,37.9
Kirklees,14
Knowsley,6.2
Leeds,15.2
Leicester City,45.3
Lincolnshire,18.6
Liverpool,18.3
Manchester,39.6
Mid Essex,11.4
Morecambe Bay,14.9
Newcastle Gateshead,17.8
Norfolk And Waveney,18
North Central London,25
North Central London,25
North Cumbria,10.8
North East Essex,13.1
North East Lincolnshire,16.4
North East London,8.1
North Lincolnshire,12.7
North Staffordshire,25.1
North Tyneside,16.8
North West London,14.7
North Yorkshire,12.8
Northamptonshire,11.1
Northumberland,24.5
Nottingham And Nottinghamshire,20.8
Oldham,31.9
Oxfordshire,7.7
Portsmouth,21.6
Rotherham,17.5
Salford,37.5
Sheffield,14.9
Sheffield,14.9
"Shropshire, Telford And Wrekin",15.1
Somerset,28.5
South East London,19.8
South East Staffordshire And Seisdon Peninsula,7.4
South Sefton,229.2
South Tyneside,15.5
South West London,10.3
Southend,6
Southport And Formby,206.2
St Helens,7.6
Stafford And Surrounds,11
Stockport,39.1
Stoke On Trent,26.5
Sunderland,9.2
Surrey Heartlands,17
Tameside And Glossop,20.8
Tees Valley,97.2
Thurrock,9.3
Trafford,20
Vale Of York,10.9
Wakefield ,8.3
Warrington,23.8
West Essex,18.7
West Essex,18.7
West Lancashire,20.1
West Leicestershire,64.9
West Suffolk,20.4
West Sussex,14.1
Wigan Borough,8.1
Wirral,32
