Entity,Code,Year,Prevalence
African Region (WHO),AR,1990,16896232
African Region (WHO),AR,1991,17355845
African Region (WHO),AR,1992,17808608
African Region (WHO),AR,1993,18283977
African Region (WHO),AR,1994,18819690
African Region (WHO),AR,1995,19398364
African Region (WHO),AR,1996,20052122
African Region (WHO),AR,1997,20779017
African Region (WHO),AR,1998,21525137
African Region (WHO),AR,1999,22262910
African Region (WHO),AR,2000,22943251
African Region (WHO),AR,2001,23579626
African Region (WHO),AR,2002,24218944
African Region (WHO),AR,2003,24862326
African Region (WHO),AR,2004,25517755
African Region (WHO),AR,2005,26195223
African Region (WHO),AR,2006,26838965
African Region (WHO),AR,2007,27411404
African Region (WHO),AR,2008,27953405
African Region (WHO),AR,2009,28517801
African Region (WHO),AR,2010,29152819
African Region (WHO),AR,2011,29839602
African Region (WHO),AR,2012,30537401
African Region (WHO),AR,2013,31268559
African Region (WHO),AR,2014,32070144
African Region (WHO),AR,2015,32982362
African Region (WHO),AR,2016,34014776
African Region (WHO),AR,2017,35104296
African Region (WHO),AR,2018,36233907
African Region (WHO),AR,2019,37412091
Australia,AUS,1990,793401
Australia,AUS,1991,810675
Australia,AUS,1992,827035
Australia,AUS,1993,842005
Australia,AUS,1994,856224
Australia,AUS,1995,870041
Australia,AUS,1996,881831
Australia,AUS,1997,891667
Australia,AUS,1998,901839
Australia,AUS,1999,913596
Australia,AUS,2000,928811
Australia,AUS,2001,950494
Australia,AUS,2002,978096
Australia,AUS,2003,1007398
Australia,AUS,2004,1035050
Australia,AUS,2005,1055981
Australia,AUS,2006,1069268
Australia,AUS,2007,1079238
Australia,AUS,2008,1086839
Australia,AUS,2009,1094208
Australia,AUS,2010,1103593
Australia,AUS,2011,1113602
Australia,AUS,2012,1123217
Australia,AUS,2013,1132312
Australia,AUS,2014,1141102
Australia,AUS,2015,1149604
Australia,AUS,2016,1136582
Australia,AUS,2017,1126306
Australia,AUS,2018,1140467
Australia,AUS,2019,1160300
Central African Republic,CAF,1990,123261
Central African Republic,CAF,1991,126787
Central African Republic,CAF,1992,130748
Central African Republic,CAF,1993,134514
Central African Republic,CAF,1994,138007
Central African Republic,CAF,1995,141614
Central African Republic,CAF,1996,145607
Central African Republic,CAF,1997,150015
Central African Republic,CAF,1998,154728
Central African Republic,CAF,1999,159215
Central African Republic,CAF,2000,163320
Central African Republic,CAF,2001,167493
Central African Republic,CAF,2002,171565
Central African Republic,CAF,2003,175661
Central African Republic,CAF,2004,179704
Central African Republic,CAF,2005,183536
Central African Republic,CAF,2006,187152
Central African Republic,CAF,2007,190932
Central African Republic,CAF,2008,195438
Central African Republic,CAF,2009,200569
Central African Republic,CAF,2010,206490
Central African Republic,CAF,2011,211797
Central African Republic,CAF,2012,213993
Central African Republic,CAF,2013,214025
Central African Republic,CAF,2014,215660
Central African Republic,CAF,2015,220075
Central African Republic,CAF,2016,224840
Central African Republic,CAF,2017,229634
Central African Republic,CAF,2018,236125
Central African Republic,CAF,2019,243707
East Asia & Pacific (WB),EA,1990,50111073
East Asia & Pacific (WB),EA,1991,51659999
East Asia & Pacific (WB),EA,1992,53058047
East Asia & Pacific (WB),EA,1993,54306199
East Asia & Pacific (WB),EA,1994,55414352
East Asia & Pacific (WB),EA,1995,56374540
East Asia & Pacific (WB),EA,1996,57086635
East Asia & Pacific (WB),EA,1997,57530500
East Asia & Pacific (WB),EA,1998,57878438
East Asia & Pacific (WB),EA,1999,58300780
East Asia & Pacific (WB),EA,2000,58962600
East Asia & Pacific (WB),EA,2001,59899611
East Asia & Pacific (WB),EA,2002,60947033
East Asia & Pacific (WB),EA,2003,62035202
East Asia & Pacific (WB),EA,2004,63091887
East Asia & Pacific (WB),EA,2005,64024805
East Asia & Pacific (WB),EA,2006,64753997
East Asia & Pacific (WB),EA,2007,65274423
East Asia & Pacific (WB),EA,2008,65697223
East Asia & Pacific (WB),EA,2009,66185507
East Asia & Pacific (WB),EA,2010,66947150
East Asia & Pacific (WB),EA,2011,67978371
East Asia & Pacific (WB),EA,2012,69103174
East Asia & Pacific (WB),EA,2013,70273046
East Asia & Pacific (WB),EA,2014,71434125
East Asia & Pacific (WB),EA,2015,72533573
East Asia & Pacific (WB),EA,2016,73467896
East Asia & Pacific (WB),EA,2017,74348284
East Asia & Pacific (WB),EA,2018,75200305
