Entity,Code,Year,Prevalence
African Region (WHO),AR,1990,12.41
African Region (WHO),AR,1991,12.41
African Region (WHO),AR,1992,12.42
African Region (WHO),AR,1993,12.42
African Region (WHO),AR,1994,12.42
African Region (WHO),AR,1995,12.43
African Region (WHO),AR,1996,12.45
African Region (WHO),AR,1997,12.47
African Region (WHO),AR,1998,12.5
African Region (WHO),AR,1999,12.53
African Region (WHO),AR,2000,12.54
African Region (WHO),AR,2001,12.53
African Region (WHO),AR,2002,12.52
African Region (WHO),AR,2003,12.51
African Region (WHO),AR,2004,12.5
African Region (WHO),AR,2005,12.49
African Region (WHO),AR,2006,12.47
African Region (WHO),AR,2007,12.45
African Region (WHO),AR,2008,12.42
African Region (WHO),AR,2009,12.39
African Region (WHO),AR,2010,12.36
African Region (WHO),AR,2011,12.33
African Region (WHO),AR,2012,12.3
African Region (WHO),AR,2013,12.26
African Region (WHO),AR,2014,12.23
African Region (WHO),AR,2015,12.22
African Region (WHO),AR,2016,12.22
African Region (WHO),AR,2017,12.22
African Region (WHO),AR,2018,12.22
African Region (WHO),AR,2019,12.21
Australia,AUS,1990,18.69
Australia,AUS,1991,18.7
Australia,AUS,1992,18.71
Australia,AUS,1993,18.71
Australia,AUS,1994,18.7
Australia,AUS,1995,18.69
Australia,AUS,1996,18.63
Australia,AUS,1997,18.52
Australia,AUS,1998,18.41
Australia,AUS,1999,18.33
Australia,AUS,2000,18.32
Australia,AUS,2001,18.45
Australia,AUS,2002,18.69
Australia,AUS,2003,18.97
Australia,AUS,2004,19.21
Australia,AUS,2005,19.32
Australia,AUS,2006,19.34
Australia,AUS,2007,19.34
Australia,AUS,2008,19.33
Australia,AUS,2009,19.31
Australia,AUS,2010,19.29
Australia,AUS,2011,19.25
Australia,AUS,2012,19.19
Australia,AUS,2013,19.12
Australia,AUS,2014,19.05
Australia,AUS,2015,19.01
Australia,AUS,2016,18.98
Australia,AUS,2017,18.96
Australia,AUS,2018,19.07
Australia,AUS,2019,19.35
Central African Republic,CAF,1990,14.21
Central African Republic,CAF,1991,14.23
Central African Republic,CAF,1992,14.25
Central African Republic,CAF,1993,14.26
Central African Republic,CAF,1994,14.27
Central African Republic,CAF,1995,14.28
Central African Republic,CAF,1996,14.29
Central African Republic,CAF,1997,14.31
Central African Republic,CAF,1998,14.32
Central African Republic,CAF,1999,14.34
Central African Republic,CAF,2000,14.35
Central African Republic,CAF,2001,14.35
Central African Republic,CAF,2002,14.36
Central African Republic,CAF,2003,14.37
Central African Republic,CAF,2004,14.37
Central African Republic,CAF,2005,14.37
Central African Republic,CAF,2006,14.36
Central African Republic,CAF,2007,14.35
Central African Republic,CAF,2008,14.34
Central African Republic,CAF,2009,14.33
Central African Republic,CAF,2010,14.34
Central African Republic,CAF,2011,14.36
Central African Republic,CAF,2012,14.4
Central African Republic,CAF,2013,14.45
Central African Republic,CAF,2014,14.5
Central African Republic,CAF,2015,14.54
Central African Republic,CAF,2016,14.58
Central African Republic,CAF,2017,14.61
Central African Republic,CAF,2018,14.64
Central African Republic,CAF,2019,14.65
East Asia & Pacific (WB),EAP,1990,11.52
East Asia & Pacific (WB),EAP,1991,11.59
East Asia & Pacific (WB),EAP,1992,11.64
East Asia & Pacific (WB),EAP,1993,11.69
East Asia & Pacific (WB),EAP,1994,11.71
East Asia & Pacific (WB),EAP,1995,11.72
East Asia & Pacific (WB),EAP,1996,11.71
East Asia & Pacific (WB),EAP,1997,11.7
East Asia & Pacific (WB),EAP,1998,11.68
East Asia & Pacific (WB),EAP,1999,11.66
East Asia & Pacific (WB),EAP,2000,11.63
East Asia & Pacific (WB),EAP,2001,11.59
East Asia & Pacific (WB),EAP,2002,11.55
East Asia & Pacific (WB),EAP,2003,11.49
East Asia & Pacific (WB),EAP,2004,11.45
East Asia & Pacific (WB),EAP,2005,11.41
East Asia & Pacific (WB),EAP,2006,11.38
East Asia & Pacific (WB),EAP,2007,11.35
East Asia & Pacific (WB),EAP,2008,11.31
East Asia & Pacific (WB),EAP,2009,11.28
East Asia & Pacific (WB),EAP,2010,11.25
East Asia & Pacific (WB),EAP,2011,11.22
East Asia & Pacific (WB),EAP,2012,11.19
East Asia & Pacific (WB),EAP,2013,11.16
East Asia & Pacific (WB),EAP,2014,11.13
East Asia & Pacific (WB),EAP,2015,11.12
East Asia & Pacific (WB),EAP,2016,11.15
East Asia & Pacific (WB),EAP,2017,11.18
East Asia & Pacific (WB),EAP,2018,11.17
East Asia & Pacific (WB),EAP,2019,11.15
Eastern Mediterranean Region (WHO),EME,1990,15.06
Eastern Mediterranean Region (WHO),EME,1991,15.05
Eastern Mediterranean Region (WHO),EME,1992,15.04
Eastern Mediterranean Region (WHO),EME,1993,15.03
Eastern Mediterranean Region (WHO),EME,1994,15.03
Eastern Mediterranean Region (WHO),EME,1995,15.03
Eastern Mediterranean Region (WHO),EME,1996,15.02
Eastern Mediterranean Region (WHO),EME,1997,15.01
Eastern Mediterranean Region (WHO),EME,1998,15
Eastern Mediterranean Region (WHO),EME,1999,14.99
Eastern Mediterranean Region (WHO),EME,2000,14.97
Eastern Mediterranean Region (WHO),EME,2001,14.97
Eastern Mediterranean Region (WHO),EME,2002,14.96
Eastern Mediterranean Region (WHO),EME,2003,14.95
Eastern Mediterranean Region (WHO),EME,2004,14.94
Eastern Mediterranean Region (WHO),EME,2005,14.93
Eastern Mediterranean Region (WHO),EME,2006,14.93
Eastern Mediterranean Region (WHO),EME,2007,14.93
Eastern Mediterranean Region (WHO),EME,2008,14.94
Eastern Mediterranean Region (WHO),EME,2009,14.95
Eastern Mediterranean Region (WHO),EME,2010,14.95
Eastern Mediterranean Region (WHO),EME,2011,14.95
Eastern Mediterranean Region (WHO),EME,2012,14.97
Eastern Mediterranean Region (WHO),EME,2013,14.99
Eastern Mediterranean Region (WHO),EME,2014,15
Eastern Mediterranean Region (WHO),EME,2015,15
Eastern Mediterranean Region (WHO),EME,2016,14.96
Eastern Mediterranean Region (WHO),EME,2017,14.93
Eastern Mediterranean Region (WHO),EME,2018,14.94
Eastern Mediterranean Region (WHO),EME,2019,14.96
Europe & Central Asia (WB),ECA,1990,13.59
Europe & Central Asia (WB),ECA,1991,13.59
Europe & Central Asia (WB),ECA,1992,13.58
Europe & Central Asia (WB),ECA,1993,13.58
Europe & Central Asia (WB),ECA,1994,13.58
Europe & Central Asia (WB),ECA,1995,13.58
Europe & Central Asia (WB),ECA,1996,13.59
Europe & Central Asia (WB),ECA,1997,13.6
Europe & Central Asia (WB),ECA,1998,13.63
Europe & Central Asia (WB),ECA,1999,13.64
Europe & Central Asia (WB),ECA,2000,13.65
Europe & Central Asia (WB),ECA,2001,13.65
Europe & Central Asia (WB),ECA,2002,13.65
Europe & Central Asia (WB),ECA,2003,13.64
Europe & Central Asia (WB),ECA,2004,13.64
Europe & Central Asia (WB),ECA,2005,13.63
Europe & Central Asia (WB),ECA,2006,13.64
Europe & Central Asia (WB),ECA,2007,13.66
Europe & Central Asia (WB),ECA,2008,13.68
Europe & Central Asia (WB),ECA,2009,13.69
Europe & Central Asia (WB),ECA,2010,13.7
Europe & Central Asia (WB),ECA,2011,13.71
Europe & Central Asia (WB),ECA,2012,13.72
Europe & Central Asia (WB),ECA,2013,13.73
Europe & Central Asia (WB),ECA,2014,13.74
Europe & Central Asia (WB),ECA,2015,13.74
Europe & Central Asia (WB),ECA,2016,13.72
Europe & Central Asia (WB),ECA,2017,13.7
Europe & Central Asia (WB),ECA,2018,13.68
Europe & Central Asia (WB),ECA,2019,13.65
European Region (WHO),EU,1990,13.6
European Region (WHO),EU,1991,13.59
European Region (WHO),EU,1992,13.59
European Region (WHO),EU,1993,13.58
European Region (WHO),EU,1994,13.58
European Region (WHO),EU,1995,13.58
European Region (WHO),EU,1996,13.59
European Region (WHO),EU,1997,13.61
European Region (WHO),EU,1998,13.63
European Region (WHO),EU,1999,13.65
European Region (WHO),EU,2000,13.65
European Region (WHO),EU,2001,13.65
European Region (WHO),EU,2002,13.65
European Region (WHO),EU,2003,13.64
European Region (WHO),EU,2004,13.64
European Region (WHO),EU,2005,13.64
European Region (WHO),EU,2006,13.64
European Region (WHO),EU,2007,13.66
European Region (WHO),EU,2008,13.68
European Region (WHO),EU,2009,13.7
European Region (WHO),EU,2010,13.71
European Region (WHO),EU,2011,13.71
European Region (WHO),EU,2012,13.72
European Region (WHO),EU,2013,13.73
European Region (WHO),EU,2014,13.74
European Region (WHO),EU,2015,13.74
European Region (WHO),EU,2016,13.72
European Region (WHO),EU,2017,13.7
European Region (WHO),EU,2018,13.68
European Region (WHO),EU,2019,13.66
Latin America & Caribbean (WB),LAC,1990,13.8
Latin America & Caribbean (WB),LAC,1991,13.8
Latin America & Caribbean (WB),LAC,1992,13.81
Latin America & Caribbean (WB),LAC,1993,13.82
Latin America & Caribbean (WB),LAC,1994,13.84
Latin America & Caribbean (WB),LAC,1995,13.85
Latin America & Caribbean (WB),LAC,1996,13.92
Latin America & Caribbean (WB),LAC,1997,14.07
Latin America & Caribbean (WB),LAC,1998,14.26
Latin America & Caribbean (WB),LAC,1999,14.44
Latin America & Caribbean (WB),LAC,2000,14.57
Latin America & Caribbean (WB),LAC,2001,14.68
Latin America & Caribbean (WB),LAC,2002,14.79
Latin America & Caribbean (WB),LAC,2003,14.9
Latin America & Caribbean (WB),LAC,2004,14.99
Latin America & Caribbean (WB),LAC,2005,15.03
Latin America & Caribbean (WB),LAC,2006,15
Latin America & Caribbean (WB),LAC,2007,14.93
Latin America & Caribbean (WB),LAC,2008,14.85
Latin America & Caribbean (WB),LAC,2009,14.77
Latin America & Caribbean (WB),LAC,2010,14.74
Latin America & Caribbean (WB),LAC,2011,14.7
Latin America & Caribbean (WB),LAC,2012,14.61
Latin America & Caribbean (WB),LAC,2013,14.52
Latin America & Caribbean (WB),LAC,2014,14.44
Latin America & Caribbean (WB),LAC,2015,14.41
Latin America & Caribbean (WB),LAC,2016,14.44
Latin America & Caribbean (WB),LAC,2017,14.47
Latin America & Caribbean (WB),LAC,2018,14.47
Latin America & Caribbean (WB),LAC,2019,14.47
Middle East & North Africa (WB),MENA,1990,16.02
Middle East & North Africa (WB),MENA,1991,16
Middle East & North Africa (WB),MENA,1992,15.98
Middle East & North Africa (WB),MENA,1993,15.97
Middle East & North Africa (WB),MENA,1994,15.96
Middle East & North Africa (WB),MENA,1995,15.94
Middle East & North Africa (WB),MENA,1996,15.92
