period,waitingtime,patients
December 2015,0-2 weeks,291
January 2016,0-2 weeks,474
February 2016,0-2 weeks,470
March 2016,0-2 weeks,391
April 2016,0-2 weeks,452
May 2016,0-2 weeks,433
June 2016,0-2 weeks,489
July 2016,0-2 weeks,480
August 2016,0-2 weeks,487
September 2016,0-2 weeks,585
October 2016,0-2 weeks,528
November 2016,0-2 weeks,602
December 2016,0-2 weeks,390
January 2017,0-2 weeks,555
February 2017,0-2 weeks,518
March 2017,0-2 weeks,535
April 2017,0-2 weeks,448
May 2017,0-2 weeks,528
June 2017,0-2 weeks,504
July 2017,0-2 weeks,544
August 2017,0-2 weeks,482
September 2017,0-2 weeks,544
October 2017,0-2 weeks,557
November 2017,0-2 weeks,636
December 2017,0-2 weeks,376
January 2018,0-2 weeks,617
February 2018,0-2 weeks,487
March 2018,0-2 weeks,486
April 2018,0-2 weeks,616
May 2018,0-2 weeks,659
June 2018,0-2 weeks,633
July 2018,0-2 weeks,620
August 2018,0-2 weeks,459
September 2018,0-2 weeks,608
October 2018,0-2 weeks,574
November 2018,0-2 weeks,596
December 2018,0-2 weeks,425
January 2019,0-2 weeks,626
February 2019,0-2 weeks,575
March 2019,0-2 weeks,631
April 2019,0-2 weeks,547
May 2019,0-2 weeks,616
June 2019,0-2 weeks,595
July 2019,0-2 weeks,600
August 2019,0-2 weeks,481
September 2019,0-2 weeks,626
December 2015,2-6 weeks,357
January 2016,2-6 weeks,399
February 2016,2-6 weeks,462
March 2016,2-6 weeks,417
April 2016,2-6 weeks,325
May 2016,2-6 weeks,346
June 2016,2-6 weeks,297
July 2016,2-6 weeks,324
August 2016,2-6 weeks,302
September 2016,2-6 weeks,286
October 2016,2-6 weeks,339
November 2016,2-6 weeks,334
December 2016,2-6 weeks,414
January 2017,2-6 weeks,238
February 2017,2-6 weeks,364
March 2017,2-6 weeks,339
April 2017,2-6 weeks,317
May 2017,2-6 weeks,324
June 2017,2-6 weeks,293
July 2017,2-6 weeks,324
August 2017,2-6 weeks,355
September 2017,2-6 weeks,313
October 2017,2-6 weeks,369
November 2017,2-6 weeks,397
December 2017,2-6 weeks,410
January 2018,2-6 weeks,326
February 2018,2-6 weeks,353
March 2018,2-6 weeks,394
April 2018,2-6 weeks,289
May 2018,2-6 weeks,304
June 2018,2-6 weeks,336
July 2018,2-6 weeks,342
August 2018,2-6 weeks,332
September 2018,2-6 weeks,298
October 2018,2-6 weeks,303
November 2018,2-6 weeks,298
December 2018,2-6 weeks,338
January 2019,2-6 weeks,259
February 2019,2-6 weeks,302
March 2019,2-6 weeks,356
April 2019,2-6 weeks,353
May 2019,2-6 weeks,331
June 2019,2-6 weeks,374
July 2019,2-6 weeks,252
August 2019,2-6 weeks,301
September 2019,2-6 weeks,279
December 2015,6-12 weeks,262
January 2016,6-12 weeks,203
February 2016,6-12 weeks,242
March 2016,6-12 weeks,319
April 2016,6-12 weeks,213
May 2016,6-12 weeks,159
June 2016,6-12 weeks,162
